step,iteration_seconds,loss,tokens,vae_rank_mean_seconds,vae_rank_max_seconds,prepare_rank_mean_seconds,prepare_rank_max_seconds
52,13.26,4.5055,913142,3.043,3.187,3.082,3.231
53,13.14,4.1414,912164,2.995,3.079,3.032,3.119
54,13.18,5.1626,912192,2.978,3.136,3.016,3.174
55,13.25,4.3507,911709,2.968,3.147,3.006,3.196
56,13.44,4.4591,911478,3.033,3.235,3.071,3.275
57,13.34,3.9348,912854,3.007,3.137,3.045,3.176
58,13.28,4.0852,911691,3.02,3.131,3.058,3.172
59,13.25,3.9595,913241,2.992,3.089,3.029,3.133
60,13.32,3.5478,915306,3.037,3.195,3.075,3.241
61,13.36,2.9801,916006,2.994,3.24,3.031,3.283
62,13.28,3.0007,917820,2.974,3.073,3.012,3.11
63,13.41,2.7492,912125,3.036,3.163,3.075,3.208
64,13.2,3.2588,914879,3.012,3.101,3.05,3.139
65,13.24,4.4468,915133,3.008,3.136,3.045,3.181
66,13.41,3.9835,913694,3.083,3.299,3.122,3.344
67,13.26,3.1311,911797,2.984,3.083,3.022,3.126
68,13.37,2.599,915005,3.024,3.15,3.062,3.193
69,13.39,2.555,914129,3.046,3.209,3.084,3.253
70,13.26,3.199,913686,2.976,3.094,3.014,3.13
71,13.29,2.6379,912396,3.026,3.143,3.065,3.183
72,13.42,2.1489,912273,3.047,3.343,3.084,3.385
73,13.26,2.3295,912968,2.99,3.123,3.028,3.162
74,13.38,2.3863,916824,3.015,3.146,3.053,3.188
75,13.36,2.7166,914230,3.075,3.251,3.114,3.295
76,13.21,3.0344,913718,3.007,3.102,3.046,3.141
77,13.29,2.5533,913391,3.016,3.172,3.054,3.212
78,13.38,3.2536,915624,3.009,3.176,3.047,3.221
79,13.4,2.6684,913547,3.008,3.183,3.046,3.223
80,13.25,2.6653,910683,3.006,3.159,3.044,3.2
81,13.37,2.4094,909432,2.992,3.105,3.03,3.146
82,13.39,3.5222,913588,3.014,3.176,3.051,3.217
83,13.23,2.5884,912918,2.993,3.128,3.031,3.172
84,13.38,2.363,914372,3.022,3.194,3.061,3.238
85,13.5,1.7744,916291,3.046,3.211,3.084,3.252
86,13.37,2.3111,911611,3.011,3.176,3.049,3.219
87,13.28,3.3935,912620,3.033,3.173,3.071,3.21
88,13.35,2.0159,915558,2.995,3.152,3.034,3.197
89,13.44,2.3457,915918,3.056,3.192,3.094,3.229
90,13.25,1.9633,911366,2.995,3.08,3.033,3.126
91,13.36,2.4159,913680,3.023,3.191,3.06,3.23
92,13.34,2.3623,911210,3.02,3.173,3.058,3.213
93,13.41,2.1565,911121,3.068,3.181,3.109,3.223
94,13.25,2.0702,910348,2.973,3.043,3.011,3.082
95,13.31,1.9427,914972,2.989,3.042,3.027,3.082
96,13.3,2.2675,912644,2.969,3.002,3.006,3.042
97,13.21,1.7688,911459,3.004,3.123,3.042,3.162
98,13.18,1.828,913189,2.983,3.161,3.022,3.201
99,13.3,2.1822,913300,2.995,3.122,3.032,3.163
100,13.26,2.2264,912555,2.971,3.052,3.007,3.089
101,13.33,2.0853,917139,3.033,3.129,3.073,3.171
102,13.36,2.0012,914038,3.012,3.17,3.05,3.214
103,13.26,2.0862,911949,2.982,3.115,3.02,3.154
104,13.36,2.1192,917934,3.003,3.107,3.042,3.148
105,13.2,2.0291,914245,2.969,3.113,3.007,3.154
106,13.35,2.5557,917188,3.019,3.134,3.056,3.174
107,13.17,2.7099,914815,2.966,3.054,3.004,3.094
108,13.34,2.6926,917855,3.032,3.222,3.07,3.263
109,13.45,2.0676,912032,3.019,3.237,3.058,3.284
110,13.31,1.6722,915110,3.0,3.196,3.037,3.237
111,13.41,2.0341,913271,3.018,3.179,3.057,3.224
112,13.41,1.9825,912756,3.063,3.267,3.103,3.31
113,13.27,1.5955,910526,2.996,3.092,3.033,3.129
114,13.35,2.2711,913324,2.997,3.094,3.036,3.14
115,13.5,1.9587,915064,3.015,3.174,3.054,3.224
116,13.45,2.081,917887,3.052,3.26,3.092,3.308
117,13.38,1.4561,917119,3.015,3.169,3.052,3.209
118,13.31,1.5547,915458,2.99,3.143,3.027,3.185
119,13.29,1.7313,913945,2.989,3.103,3.027,3.152
120,13.29,2.1025,914877,2.997,3.091,3.036,3.133
121,13.38,1.9896,909977,3.04,3.135,3.079,3.174
122,13.26,1.995,911729,2.99,3.069,3.027,3.107
123,13.21,2.2867,911443,2.996,3.082,3.034,3.119
124,13.27,1.8851,911414,2.982,3.15,3.02,3.195
125,13.28,1.9537,912989,3.03,3.188,3.069,3.23
126,13.35,1.5884,914299,3.017,3.156,3.054,3.193
127,13.3,1.8688,914460,2.992,3.116,3.031,3.163
128,13.22,1.7227,914468,2.982,3.086,3.019,3.124
129,13.23,1.4378,913221,2.994,3.064,3.03,3.103
130,13.43,1.902,913530,3.065,3.166,3.104,3.207
131,13.2,1.3503,913937,2.999,3.095,3.038,3.141
132,13.34,2.2801,914884,3.032,3.243,3.069,3.286
133,13.36,1.7181,914118,3.046,3.254,3.084,3.298
134,13.37,1.8223,911473,3.025,3.18,3.063,3.22
135,13.28,1.5467,918129,2.996,3.114,3.033,3.154
136,13.33,2.2867,917417,3.0,3.069,3.039,3.113
137,13.22,1.5453,912966,2.982,3.048,3.02,3.087
138,13.3,1.5089,912720,3.007,3.162,3.046,3.2
139,13.24,2.6843,913090,3.003,3.113,3.041,3.154
140,13.28,1.8611,913884,3.043,3.166,3.083,3.205
141,13.37,1.8503,914833,2.998,3.095,3.035,3.137
142,13.48,2.0249,914029,3.038,3.32,3.077,3.372
143,13.35,2.4194,917021,3.024,3.241,3.064,3.28
144,13.27,2.2794,913564,3.004,3.124,3.041,3.168
145,13.33,1.9153,911705,3.022,3.175,3.061,3.219
146,13.3,1.4921,914271,2.977,3.102,3.014,3.145
147,13.33,1.5683,909684,3.034,3.187,3.073,3.227
148,13.28,1.4745,913346,3.023,3.167,3.061,3.207
149,13.38,1.6498,914197,3.012,3.152,3.049,3.191
150,13.21,1.5,912640,2.974,3.115,3.011,3.159
151,13.34,1.9748,912292,3.028,3.156,3.066,3.198
152,13.31,1.6671,912640,3.036,3.181,3.075,3.221
153,13.35,1.8246,912451,3.015,3.109,3.054,3.149
154,13.27,1.5291,914292,3.016,3.117,3.055,3.156
155,13.27,1.242,914249,3.049,3.264,3.087,3.301
156,13.36,1.7878,912984,3.013,3.258,3.05,3.299
157,13.32,1.5947,914208,3.017,3.219,3.054,3.26
158,13.37,2.1915,913657,3.025,3.152,3.064,3.198
159,13.32,1.7893,915903,2.983,3.136,3.02,3.178
160,13.37,1.3329,914037,3.042,3.315,3.082,3.358
161,13.36,1.7492,917287,3.046,3.238,3.085,3.283
162,13.32,2.1816,913336,3.018,3.156,3.055,3.192
163,13.42,1.3889,909954,3.06,3.237,3.099,3.281
164,13.23,1.859,913759,2.994,3.126,3.031,3.171
165,13.39,1.6535,913348,3.04,3.244,3.078,3.285
166,13.42,1.7868,912931,3.005,3.164,3.042,3.206
167,13.37,1.6939,912573,3.011,3.176,3.047,3.217
168,13.29,1.4503,910358,3.004,3.206,3.043,3.248
169,13.25,1.6509,912274,2.978,3.069,3.017,3.111
170,13.38,1.3903,911054,2.98,3.114,3.018,3.158
171,13.32,1.1838,914352,3.034,3.172,3.073,3.214
172,13.27,1.433,910544,3.015,3.158,3.053,3.203
173,13.39,1.3184,909441,3.04,3.228,3.078,3.274
174,13.4,1.0445,909922,3.024,3.201,3.064,3.24
175,13.35,1.4025,911261,3.048,3.267,3.087,3.314
176,13.18,1.7188,911228,2.987,3.197,3.025,3.24
177,13.28,1.3945,913163,3.016,3.173,3.055,3.217
178,13.21,1.237,910848,3.001,3.087,3.039,3.125
179,13.32,1.6706,914093,3.023,3.229,3.062,3.27
180,13.3,1.3872,914143,3.013,3.157,3.05,3.197
181,13.3,1.5574,913333,2.971,3.047,3.008,3.093
182,13.3,1.6111,913962,2.99,3.162,3.027,3.199
183,13.17,1.4069,915167,2.98,3.06,3.017,3.098
184,13.37,1.3471,914796,3.007,3.15,3.045,3.194
185,13.4,1.6291,912218,3.047,3.174,3.085,3.214
186,13.38,1.3353,917098,3.035,3.213,3.074,3.255
187,13.33,1.5915,916523,3.04,3.22,3.078,3.259
188,13.33,1.8234,916038,3.006,3.15,3.044,3.191
189,13.43,1.7962,913444,3.043,3.197,3.081,3.241
190,13.42,1.4881,912624,3.043,3.24,3.082,3.287
191,13.33,1.7701,912342,3.026,3.15,3.065,3.19
192,13.3,1.6759,911626,3.006,3.166,3.043,3.207
193,13.46,1.7575,917489,3.036,3.237,3.074,3.28
194,13.41,1.5433,918457,2.989,3.127,3.026,3.167
195,13.32,1.8458,916549,3.004,3.13,3.043,3.175
196,13.44,1.6819,914554,3.026,3.095,3.064,3.133
197,13.36,1.8251,914692,3.024,3.164,3.061,3.208
198,13.4,1.4013,913353,3.04,3.17,3.08,3.209
199,13.37,1.3773,914535,2.987,3.09,3.025,3.129
200,13.36,1.3276,915802,2.991,3.091,3.028,3.129
