timestamp_utc,gpu_index,gpu_name,memory_mib,utilization_pct,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz
2026-09-26T18:31:43.409000+00:00,1,NVIDIA B200,33366,0,187.22,31,1965,3996
2026-09-26T18:31:43.409000+00:00,2,NVIDIA B200,33538,0,189.22,35,1965,3996
2026-09-26T18:31:43.410000+00:00,3,NVIDIA B200,33538,0,183.04,32,1965,3996
2026-09-26T18:31:43.410000+00:00,4,NVIDIA B200,33194,0,185.76,35,1965,3996
2026-09-26T18:31:43.410000+00:00,5,NVIDIA B200,33538,0,186.26,32,1965,3996
2026-09-26T18:31:43.410000+00:00,6,NVIDIA B200,33494,0,184.59,35,1965,3996
2026-09-26T18:31:43.410000+00:00,7,NVIDIA B200,33494,0,183.98,31,1965,3996
2026-09-26T18:31:44.410000+00:00,0,NVIDIA B200,33366,0,185.99,35,1965,3996
2026-09-26T18:31:44.410000+00:00,1,NVIDIA B200,33366,0,187.12,31,1965,3996
2026-09-26T18:31:44.410000+00:00,2,NVIDIA B200,33538,0,189.01,35,1965,3996
2026-09-26T18:31:44.410000+00:00,3,NVIDIA B200,33538,0,182.87,32,1965,3996
2026-09-26T18:31:44.410000+00:00,4,NVIDIA B200,33218,3,189.75,35,1965,3996
2026-09-26T18:31:44.410000+00:00,5,NVIDIA B200,33538,0,186.01,32,1965,3996
2026-09-26T18:31:44.410000+00:00,6,NVIDIA B200,33494,0,184.40,35,1965,3996
2026-09-26T18:31:44.410000+00:00,7,NVIDIA B200,33494,0,183.93,31,1965,3996
2026-09-26T18:31:45.410000+00:00,0,NVIDIA B200,33368,0,185.95,35,1965,3996
2026-09-26T18:31:45.410000+00:00,1,NVIDIA B200,33366,0,187.07,31,1965,3996
2026-09-26T18:31:45.410000+00:00,2,NVIDIA B200,33540,0,188.95,35,1965,3996
2026-09-26T18:31:45.410000+00:00,3,NVIDIA B200,33540,0,182.82,32,1965,3996
2026-09-26T18:31:45.410000+00:00,4,NVIDIA B200,33218,0,185.83,35,1965,3996
2026-09-26T18:31:45.410000+00:00,5,NVIDIA B200,33540,0,185.99,32,1965,3996
2026-09-26T18:31:45.410000+00:00,6,NVIDIA B200,33496,0,184.46,35,1965,3996
2026-09-26T18:31:45.410000+00:00,7,NVIDIA B200,33496,0,183.89,31,1965,3996
2026-09-26T18:31:46.410000+00:00,0,NVIDIA B200,33520,0,250.44,36,1965,3996
2026-09-26T18:31:46.411000+00:00,1,NVIDIA B200,33520,0,243.35,32,1965,3996
2026-09-26T18:31:46.411000+00:00,2,NVIDIA B200,33564,0,249.10,35,1965,3996
