step,iteration_seconds,loss,tokens,vae_rank_mean_seconds,vae_rank_max_seconds,prepare_rank_mean_seconds,prepare_rank_max_seconds
156,13.35,1.8321,914898,3.033,3.093,3.072,3.134
157,13.28,2.0612,912487,3.005,3.115,3.044,3.154
158,13.29,1.8641,911543,3.005,3.068,3.043,3.108
159,13.26,1.7966,916687,3.017,3.176,3.055,3.213
160,13.26,1.3523,916080,2.996,3.114,3.034,3.156
161,13.31,2.0631,917917,3.003,3.133,3.041,3.171
162,13.31,1.596,913385,3.016,3.159,3.055,3.201
163,13.34,1.7703,909605,3.026,3.097,3.065,3.136
164,13.28,1.8655,913186,3.017,3.193,3.055,3.234
165,13.42,1.6175,911850,3.027,3.242,3.066,3.284
166,13.44,1.5668,916283,3.017,3.135,3.056,3.176
167,13.4,1.6533,910911,3.04,3.285,3.078,3.327
168,13.32,1.4901,913303,2.987,3.074,3.024,3.118
169,13.18,1.3655,911118,2.998,3.151,3.037,3.199
170,13.31,1.397,909738,3.01,3.145,3.049,3.183
171,13.34,1.31,912641,3.018,3.123,3.057,3.165
172,13.28,1.4187,913677,2.977,3.148,3.015,3.186
173,13.28,1.2512,907279,3.014,3.163,3.053,3.204
174,13.3,1.2544,908091,2.991,3.073,3.028,3.108
175,13.26,1.5848,913484,3.0,3.126,3.039,3.169
176,13.26,1.8922,914698,2.977,3.049,3.015,3.095
177,13.3,1.387,911694,3.035,3.193,3.073,3.235
178,13.23,1.4267,911220,3.01,3.157,3.049,3.197
179,13.32,1.5513,915027,3.03,3.162,3.07,3.205
180,13.43,1.4608,912984,3.02,3.177,3.058,3.222
181,13.4,1.7538,913838,3.034,3.126,3.075,3.169
182,13.36,1.6132,913512,3.011,3.117,3.049,3.161
183,13.26,1.3916,912465,2.988,3.12,3.027,3.164
184,13.23,1.4457,912816,2.988,3.055,3.027,3.094
185,13.22,1.4709,915989,2.956,2.974,2.994,3.014
186,13.33,1.2932,916473,3.018,3.195,3.056,3.241
187,13.3,1.8962,915803,3.005,3.16,3.043,3.2
188,13.28,1.6399,914637,3.011,3.109,3.05,3.147
189,13.43,2.1528,913031,3.01,3.124,3.049,3.161
190,13.33,1.6276,912601,3.015,3.286,3.054,3.332
191,13.36,1.3055,915183,3.015,3.147,3.052,3.188
192,13.38,2.0333,912635,3.032,3.258,3.071,3.305
193,13.19,1.8731,917922,2.982,3.067,3.018,3.106
194,13.31,1.8144,919406,2.989,3.197,3.026,3.238
195,13.24,1.3928,912879,3.01,3.113,3.048,3.153
196,13.23,1.7461,913273,2.988,3.053,3.026,3.091
197,13.27,1.3311,915847,3.011,3.147,3.048,3.188
198,13.18,1.3661,915072,2.983,3.103,3.021,3.145
199,13.32,1.5373,914830,3.022,3.261,3.06,3.304
200,13.38,1.2656,913570,3.056,3.211,3.095,3.252
