step,iteration_seconds,loss,tokens,vae_rank_mean_seconds,vae_rank_max_seconds,prepare_rank_mean_seconds,prepare_rank_max_seconds
187,13.34,1.7365,915713,3.016,3.216,3.056,3.266
188,13.2,1.8855,916346,3.037,3.177,3.077,3.221
189,13.26,1.809,915875,3.02,3.144,3.057,3.186
190,13.2,1.6773,912137,2.974,3.066,3.012,3.108
191,13.29,2.0476,913682,3.004,3.185,3.043,3.225
192,13.28,1.6728,914721,3.022,3.208,3.062,3.255
193,13.45,2.1062,915208,3.05,3.229,3.088,3.272
194,13.37,2.2751,915531,3.0,3.07,3.039,3.107
195,13.33,1.499,916503,3.006,3.1,3.042,3.138
196,13.38,1.4277,915407,3.003,3.259,3.04,3.303
197,13.23,1.4124,911055,3.056,3.238,3.095,3.283
198,13.43,1.3163,916833,3.056,3.194,3.094,3.235
199,13.33,1.5793,915827,3.047,3.176,3.086,3.22
200,13.29,1.2539,914255,2.992,3.204,3.03,3.245
