step,iteration_seconds,loss,tokens,vae_rank_mean_seconds,vae_rank_max_seconds,prepare_rank_mean_seconds,prepare_rank_max_seconds
52,13.27,4.5757,911324,2.982,3.049,3.021,3.09
53,13.28,4.1546,913509,3.013,3.149,3.052,3.192
54,13.3,3.6672,912626,3.029,3.167,3.069,3.218
55,13.32,6.1718,911642,3.035,3.223,3.074,3.267
56,13.26,4.1557,911614,3.018,3.153,3.056,3.193
57,13.34,4.0636,912943,3.004,3.167,3.041,3.205
58,13.16,4.3385,909899,2.976,3.036,3.013,3.077
59,13.2,3.948,913843,2.981,3.063,3.019,3.101
60,13.32,3.7619,916026,3.012,3.215,3.051,3.256
61,13.33,2.7087,917241,3.012,3.117,3.051,3.157
62,13.28,3.0503,917178,3.0,3.145,3.036,3.186
63,13.33,2.9141,913950,3.024,3.129,3.062,3.167
64,13.29,2.8883,913018,2.997,3.081,3.035,3.12
65,13.3,2.5419,915295,3.001,3.175,3.039,3.216
66,13.32,3.4322,914851,3.039,3.143,3.077,3.183
67,13.28,3.9853,913092,3.005,3.152,3.043,3.193
68,13.32,3.101,913808,3.001,3.091,3.039,3.132
69,13.29,2.7649,912868,2.988,3.093,3.025,3.134
70,13.29,2.5578,912384,3.013,3.096,3.052,3.134
71,13.49,2.6699,912919,3.058,3.31,3.099,3.355
72,13.36,2.8945,913190,3.023,3.176,3.063,3.221
73,13.48,2.4259,915716,3.021,3.094,3.061,3.133
74,13.3,2.6113,913543,2.996,3.049,3.034,3.093
75,13.39,2.8742,915083,3.015,3.204,3.053,3.25
76,13.28,3.54,914135,3.007,3.178,3.045,3.218
77,13.38,2.5147,911384,3.041,3.242,3.078,3.286
78,13.12,2.4519,915036,2.985,3.102,3.023,3.141
79,13.23,2.7732,912155,3.0,3.116,3.037,3.152
80,13.25,2.8061,912138,2.991,3.108,3.028,3.152
81,13.36,2.1073,912819,3.021,3.145,3.06,3.184
82,13.4,2.4828,913002,3.01,3.151,3.047,3.188
83,13.24,2.0445,914951,2.985,3.062,3.024,3.102
84,13.22,2.9237,910407,2.998,3.091,3.037,3.133
85,13.26,2.6531,916196,3.008,3.128,3.047,3.176
86,13.32,2.217,911121,3.01,3.234,3.048,3.276
87,13.16,2.7725,915292,2.993,3.077,3.031,3.115
88,13.31,2.2092,914591,2.999,3.121,3.037,3.16
89,13.33,2.1898,915705,3.025,3.134,3.062,3.175
90,13.24,3.1676,911750,3.012,3.101,3.05,3.138
91,13.12,2.4793,911033,2.985,3.076,3.021,3.116
92,13.28,1.748,909317,2.999,3.138,3.036,3.175
93,13.23,1.6802,913986,2.992,3.088,3.03,3.131
94,13.3,1.8051,910558,3.028,3.235,3.068,3.291
95,13.31,2.0262,914923,2.998,3.09,3.036,3.131
96,13.29,2.3076,912190,2.991,3.121,3.03,3.165
97,13.33,1.7764,911610,3.012,3.177,3.049,3.219
98,13.31,1.989,913036,3.004,3.079,3.041,3.123
99,13.34,1.9637,913211,3.012,3.241,3.049,3.281
100,13.34,1.8802,913663,2.991,3.123,3.03,3.161
101,13.25,2.1137,915083,2.997,3.103,3.036,3.146
102,13.44,1.6781,914917,3.047,3.198,3.085,3.24
103,13.24,2.2841,914075,2.983,3.094,3.021,3.132
104,13.29,2.1398,915414,3.008,3.113,3.045,3.152
105,13.37,2.9403,916562,3.052,3.19,3.09,3.23
106,13.25,1.7889,914220,3.024,3.135,3.063,3.177
107,13.3,2.2557,917157,3.002,3.161,3.041,3.203
108,13.42,2.062,916911,3.015,3.134,3.055,3.181
109,13.48,3.0103,915716,3.082,3.383,3.121,3.428
110,13.32,1.8855,911372,3.02,3.124,3.058,3.164
111,13.39,1.8591,915368,3.029,3.214,3.068,3.258
112,13.43,2.1552,912715,3.038,3.107,3.076,3.147
113,13.45,1.8652,911127,3.031,3.227,3.068,3.266
114,13.42,2.0436,914137,3.006,3.095,3.044,3.133
115,13.41,2.0702,914981,3.018,3.234,3.056,3.274
116,13.33,1.9304,914638,2.985,3.094,3.023,3.136
117,13.27,1.8735,916060,3.011,3.163,3.048,3.207
118,13.19,1.6451,916617,2.96,3.038,2.996,3.081
119,13.22,1.6369,915390,2.982,3.054,3.019,3.09
120,13.37,1.7918,911908,3.013,3.159,3.051,3.205
121,13.43,2.0312,910313,3.046,3.267,3.084,3.313
122,13.23,1.8881,909291,2.973,3.024,3.01,3.063
123,13.36,2.5278,913860,3.039,3.259,3.077,3.301
124,13.39,1.8002,912756,3.031,3.196,3.069,3.236
125,13.46,1.8176,914378,3.001,3.147,3.039,3.188
126,13.28,1.4696,909831,2.998,3.068,3.036,3.108
127,13.24,1.5539,914183,3.006,3.045,3.045,3.096
128,13.28,1.5607,917359,2.984,3.071,3.023,3.11
129,13.34,1.4358,913912,3.027,3.127,3.065,3.165
130,13.22,2.2511,915525,2.985,3.088,3.022,3.126
131,13.27,2.9091,911740,3.007,3.151,3.044,3.188
132,13.15,2.1021,915631,2.97,3.034,3.007,3.072
133,13.29,1.7972,911304,3.017,3.137,3.054,3.178
134,13.37,1.721,913610,2.994,3.166,3.031,3.211
135,13.3,1.3257,916170,3.012,3.152,3.05,3.198
136,13.29,2.0382,915197,3.002,3.134,3.039,3.171
137,13.39,1.8498,915535,3.036,3.166,3.074,3.206
138,13.22,1.6667,914088,3.002,3.156,3.04,3.199
139,13.28,2.0062,912103,2.988,3.141,3.026,3.184
140,13.24,2.615,914169,2.977,3.064,3.015,3.103
141,13.26,2.4482,916194,2.958,3.054,2.995,3.093
142,13.23,1.6632,914941,2.994,3.151,3.032,3.192
143,13.25,2.1511,915282,2.995,3.087,3.033,3.124
144,13.34,2.2436,914170,3.006,3.158,3.043,3.199
145,13.24,1.6273,912904,2.992,3.05,3.029,3.093
146,13.36,1.632,911960,3.064,3.273,3.103,3.321
147,13.25,1.7682,911897,3.027,3.136,3.066,3.174
148,13.18,1.7813,912255,2.996,3.078,3.033,3.114
149,13.32,1.5431,912926,3.024,3.256,3.063,3.3
150,13.31,1.6388,913538,3.009,3.215,3.049,3.258
151,13.36,1.9509,913059,3.018,3.204,3.058,3.244
152,13.38,1.5869,913135,3.047,3.296,3.085,3.337
153,13.25,1.4865,912044,2.995,3.12,3.033,3.16
154,13.31,1.5145,915615,3.0,3.145,3.038,3.182
155,13.11,1.3937,913855,2.954,3.022,2.991,3.058
156,13.24,1.6274,913197,3.0,3.076,3.037,3.115
157,13.31,1.5106,911249,3.0,3.237,3.038,3.277
158,13.18,1.8689,915346,2.988,3.09,3.028,3.134
159,13.33,1.9792,914434,3.031,3.138,3.07,3.183
160,13.32,1.5172,914405,3.046,3.234,3.084,3.274
161,13.37,1.8867,917868,3.004,3.108,3.041,3.146
162,13.13,1.7092,913947,2.997,3.078,3.034,3.117
163,13.19,1.4624,910757,2.991,3.106,3.029,3.143
164,13.36,1.7938,914920,2.995,3.201,3.034,3.249
165,13.32,1.4171,913271,3.012,3.117,3.05,3.16
166,13.31,1.6089,912560,2.987,3.123,3.026,3.161
167,13.31,1.2399,913722,3.009,3.122,3.047,3.161
168,13.3,1.295,911512,3.01,3.16,3.049,3.205
169,13.27,1.4184,910720,3.029,3.17,3.068,3.213
170,13.16,1.3571,907270,3.018,3.152,3.057,3.193
171,13.22,1.2914,912835,3.029,3.118,3.068,3.16
172,13.34,1.4595,912470,3.019,3.175,3.058,3.217
173,13.27,1.338,908010,2.991,3.053,3.031,3.095
174,13.32,1.2076,911013,3.016,3.188,3.053,3.225
175,13.35,1.2673,910549,3.011,3.149,3.05,3.191
176,13.19,1.8568,910518,2.968,3.062,3.004,3.1
177,13.39,1.2769,911856,3.039,3.248,3.077,3.291
178,13.32,1.4733,915746,3.022,3.169,3.061,3.211
179,13.28,1.5892,914360,3.021,3.115,3.059,3.155
180,13.21,1.2155,911579,2.996,3.095,3.033,3.134
181,13.39,1.6093,915779,3.037,3.174,3.076,3.217
182,13.32,1.3416,912993,3.028,3.208,3.067,3.251
183,13.33,1.3094,914673,3.017,3.127,3.056,3.168
184,13.3,1.3026,913390,2.995,3.116,3.033,3.155
185,13.3,1.6154,913346,3.042,3.23,3.08,3.27
186,13.51,1.0941,916338,3.064,3.152,3.103,3.195
