task_id,task,instance_id,q,success,simulator_steps,metric_sha256,collection_receipt_sha256
8,rearranging_kitchen_furniture,320,0.0,False,13415,77bc2f52d55f6b6068cdd33444da63ceaeb03bfe8cd1a5c518632414efb42e72,8708d979d2fb45f32eaa79d8448fc4c4a7a18f7646274e56769815b9d7d4338c
22,putting_shoes_on_rack,311,0.4,False,11590,7e57c109a12f831277110fa18c9ea2cf14652c9153a96215e13cc0d9ba0313e1,0b59f6bd79f3578e246f676ececc59fbf4b8bc194560b860000b799c2c4fc856
22,putting_shoes_on_rack,312,0.3,False,11590,72071c797c8e14b26acc7370315d6b289fab669baf4173f77763172321abdd2c,0b59f6bd79f3578e246f676ececc59fbf4b8bc194560b860000b799c2c4fc856
22,putting_shoes_on_rack,313,0.5,False,11590,e8596d0c110d1e423505fe26dd67c1edc544b2670b0c1370e5fc51fd2279e085,0b59f6bd79f3578e246f676ececc59fbf4b8bc194560b860000b799c2c4fc856
22,putting_shoes_on_rack,314,0.0,False,11590,a31f78de52f2f07f996b40402f70a78b76150dccf681101784d9e3920e301317,0b59f6bd79f3578e246f676ececc59fbf4b8bc194560b860000b799c2c4fc856
22,putting_shoes_on_rack,315,1.0,True,10889,b7bc063a78c34a420759ea557ec2e0d03037df3d2c042527445ccb966502fb73,0b59f6bd79f3578e246f676ececc59fbf4b8bc194560b860000b799c2c4fc856
22,putting_shoes_on_rack,316,0.2,False,11590,41b26a1fa43c3a050ca8211a3a8735a97dbf1aab0f95d8043eddb71e367b7fc8,0b59f6bd79f3578e246f676ececc59fbf4b8bc194560b860000b799c2c4fc856
22,putting_shoes_on_rack,317,0.2,False,11590,b166b9afa5694422454f12e55dfbb3ef77e56d791028dd0de616d70cdafe25a4,0b59f6bd79f3578e246f676ececc59fbf4b8bc194560b860000b799c2c4fc856
22,putting_shoes_on_rack,318,0.4,False,11590,7065b4de7e092e73edb5696a0376bcc0602332a125dca13bade301bb750eb3a5,0b59f6bd79f3578e246f676ececc59fbf4b8bc194560b860000b799c2c4fc856
22,putting_shoes_on_rack,319,0.8,False,11590,0d5e43a882f1a2ad847eee04742c65fd921a3597531d4c810e59b5aa1504f141,0b59f6bd79f3578e246f676ececc59fbf4b8bc194560b860000b799c2c4fc856
22,putting_shoes_on_rack,320,0.6,False,11590,dc3e2a74c7e2d4b94a50e630e468dd3db12698b574f87e0b8a75c79ff3ec11e7,0b59f6bd79f3578e246f676ececc59fbf4b8bc194560b860000b799c2c4fc856
30,setting_the_fire,311,0.125,False,13678,ae9733a5accf52fbb794860bdfda0e54ed838ac91c78e6bb62dec64e34a2e1f2,34c41cc37d16b2ca3dc2394af78a1e4292f23e9f0db948d65e0c18d4e706ec48
30,setting_the_fire,312,0.5,False,13678,82c90c9a8ffd51810c83bc097a96b466fbaa0b68315454458cb59656da8f1392,34c41cc37d16b2ca3dc2394af78a1e4292f23e9f0db948d65e0c18d4e706ec48
30,setting_the_fire,313,0.25,False,13678,23048e482097b7943d118dfea8bad0c08b61b124b1248e0d85eb2066ed6d1d61,34c41cc37d16b2ca3dc2394af78a1e4292f23e9f0db948d65e0c18d4e706ec48
30,setting_the_fire,314,0.75,False,13678,25abdd1fc42a16d32502830546c58b027f0854edb148cf3d3f4cae54d8b2559f,34c41cc37d16b2ca3dc2394af78a1e4292f23e9f0db948d65e0c18d4e706ec48
30,setting_the_fire,315,0.25,False,13678,67695bc94320cce58ba9c79942feacbe40e16b98453649989703ee6ba175a262,34c41cc37d16b2ca3dc2394af78a1e4292f23e9f0db948d65e0c18d4e706ec48
30,setting_the_fire,316,0.25,False,13678,c092d4492a1d359804349b2cc33ee96ba6f68ca5bd88b43b769979dc032af590,34c41cc37d16b2ca3dc2394af78a1e4292f23e9f0db948d65e0c18d4e706ec48
30,setting_the_fire,317,0.125,False,13678,c397b5a2f645e0cfa22ef993e84f5107d3c59779c2bfd32552f0270f14b75e6a,34c41cc37d16b2ca3dc2394af78a1e4292f23e9f0db948d65e0c18d4e706ec48
30,setting_the_fire,318,0.0,False,13678,bb7a6626a142b0e4eda33b388e02cde52b0f79b1cb8c8b60a7c044b6e3f658cb,34c41cc37d16b2ca3dc2394af78a1e4292f23e9f0db948d65e0c18d4e706ec48
30,setting_the_fire,319,0.0,False,13678,f7e03ea417c73d0b8ffa7171f993e87e65364df6153c564797f031f7d0c2260c,34c41cc37d16b2ca3dc2394af78a1e4292f23e9f0db948d65e0c18d4e706ec48
30,setting_the_fire,320,0.125,False,13678,1fa86fb8f03aaaab69b261c4470a036a9606cb2d881d12ee6f26fc431c9cc314,34c41cc37d16b2ca3dc2394af78a1e4292f23e9f0db948d65e0c18d4e706ec48
45,cook_hot_dogs,311,1.0,True,8650,e0c3fee653bd0b9adcf227185e1ae2bdf9cd58ed5a499ec6d5283c27d6a0b39e,37b532d47c03baa66adc11f1c4012c8e815cc5ea6d82065a6fc4d8e3a4c401b4
45,cook_hot_dogs,312,1.0,True,9111,6832b8599fdc698e57b8cf426c646f2cd2edccff97aee4faae26509b45fe7270,37b532d47c03baa66adc11f1c4012c8e815cc5ea6d82065a6fc4d8e3a4c401b4
45,cook_hot_dogs,313,0.0,False,13718,05348ef166629b0d37f88cb820d4ad8a48fa96f469b6fd5a2306a093117208ad,37b532d47c03baa66adc11f1c4012c8e815cc5ea6d82065a6fc4d8e3a4c401b4
45,cook_hot_dogs,314,0.0,False,13718,f9e94f3115468aabff002a7c2c2a064633b7e55d746372679aa8f7ebe672720b,37b532d47c03baa66adc11f1c4012c8e815cc5ea6d82065a6fc4d8e3a4c401b4
45,cook_hot_dogs,315,1.0,True,6817,d6899bbeca9c6b8b4e88a6b2c7032bf68c8ba18546548cba673494549117678f,37b532d47c03baa66adc11f1c4012c8e815cc5ea6d82065a6fc4d8e3a4c401b4
45,cook_hot_dogs,316,1.0,True,9763,748ad34327da6353622a2d9dddb4eef9352ea67ca22cca394cbe755d05ddd0c7,37b532d47c03baa66adc11f1c4012c8e815cc5ea6d82065a6fc4d8e3a4c401b4
45,cook_hot_dogs,317,1.0,True,8872,ddc11700dda8fb06721d8c88aec417e7a1b61659f7e0150837f01b253dd7cf9d,37b532d47c03baa66adc11f1c4012c8e815cc5ea6d82065a6fc4d8e3a4c401b4
45,cook_hot_dogs,318,0.0,False,13718,5eb4e13b02aa4b99a88478661f64193ef82e6a78de9e33e0ffca9b0a638c9c61,37b532d47c03baa66adc11f1c4012c8e815cc5ea6d82065a6fc4d8e3a4c401b4
45,cook_hot_dogs,319,0.0,False,13718,a2406f855eefd569838d31df3864a16c6f50f2f7c1f53c6d725f675e1d799838,37b532d47c03baa66adc11f1c4012c8e815cc5ea6d82065a6fc4d8e3a4c401b4
45,cook_hot_dogs,320,0.0,False,13718,f16faaf860bd0409ec6af9a8d1fcc232206e6299455a63300ecefc7642c1316b,37b532d47c03baa66adc11f1c4012c8e815cc5ea6d82065a6fc4d8e3a4c401b4
