unix_seconds,monotonic_seconds,sectors_read,sectors_written,io_milliseconds,sector_bytes
1790410230.5051756,18578.778450752,73209532,480314336,667855,512
1790410231.5058043,18579.779079486,73209532,480314520,667857,512
1790410232.5062947,18580.779570035,73209532,480314816,667862,512
1790410233.5066926,18581.779967798,73209532,480316048,667865,512
1790410234.5071204,18582.780396145,73209532,480316048,667865,512
1790410235.5074873,18583.780762486,73209532,480316048,667865,512
1790410236.5079339,18584.781208895,73209532,480316064,667867,512
1790410237.508402,18585.78167719,73209532,480316112,667868,512
1790410238.5088534,18586.782128939,73209532,480317752,667871,512
1790410239.5092053,18587.782480353,73209532,480317752,667871,512
1790410240.5097065,18588.78298157,73209532,480319016,667874,512
1790410241.5101473,18589.783422589,73209532,480319016,667874,512
1790410242.5106194,18590.783894704,73209532,480319016,667874,512
1790410243.511056,18591.784331227,73209532,480319016,667874,512
1790410244.5115771,18592.784852763,73209532,480319472,667881,512
1790410245.5120506,18593.785325771,73209532,480319472,667881,512
1790410246.5124266,18594.785701646,73209532,480320704,667885,512
1790410247.512948,18595.786223809,73209532,480320704,667885,512
1790410248.5134048,18596.78668065,73209532,480320720,667890,512
1790410249.5140738,18597.787349016,73209548,480320720,667895,512
1790410250.5144587,18598.787733532,73209548,480321112,667897,512
1790410251.5149672,18599.788242681,73209548,480321112,667897,512
1790410252.515569,18600.788844183,73209548,480321112,667897,512
1790410253.5159538,18601.78922877,73209548,480325712,667928,512
1790410254.5165296,18602.789804977,73209548,480326960,667932,512
1790410255.5171158,18603.790390947,73209548,480326960,667932,512
1790410256.5176773,18604.790952358,73209548,480328720,667935,512
1790410257.5181932,18605.791468316,73209548,480328720,667935,512
1790410258.518652,18606.791927212,73209548,480328720,667935,512
1790410259.519193,18607.792468203,73209548,480329960,667938,512
1790410260.5196378,18608.792912623,73209548,480329960,667938,512
1790410261.5199695,18609.793244611,73209548,480329960,667938,512
1790410262.5203028,18610.79357797,73209548,480330136,667940,512
1790410263.5208917,18611.794166702,73209548,480330136,667940,512
1790410264.521222,18612.794497458,73209548,480330136,667940,512
1790410265.5215828,18613.79485808,73209548,480330136,667940,512
1790410266.5219612,18614.795236225,73209548,480331368,667942,512
1790410267.5223305,18615.795605405,73209548,480332424,667964,512
1790410268.522683,18616.795957913,73209548,480332544,667966,512
1790410269.523216,18617.796491009,73209548,480332616,667970,512
1790410270.5238566,18618.797131846,73209548,480332616,667970,512
1790410271.5242267,18619.797501834,73209548,480332648,667973,512
1790410272.524622,18620.797897111,73209548,480332648,667973,512
1790410273.5251176,18621.798392895,73209548,480335256,667980,512
1790410274.525797,18622.799072256,73209548,480335256,667980,512
1790410275.526215,18623.799490655,73209548,480335256,667980,512
1790410276.526561,18624.799836018,73209548,480335256,667980,512
1790410277.526943,18625.800217749,73209548,480336992,668021,512
1790410278.5273025,18626.800577385,73209548,480336992,668021,512
1790410279.5277994,18627.801074352,73209548,480338664,668028,512
1790410280.5282335,18628.801508588,73209548,480338664,668028,512
1790410281.5287874,18629.802062754,73209548,480338664,668028,512
1790410282.529176,18630.802451469,73209548,480338664,668028,512
1790410283.5296986,18631.802973714,73209548,480338896,668031,512
1790410284.5300825,18632.803358172,73209548,480340656,668034,512
1790410285.5304554,18633.803730787,73209548,480340656,668034,512
1790410286.5309944,18634.804269346,73209548,480341888,668039,512
1790410287.5314605,18635.804736193,73209548,480341888,668039,512
1790410288.532068,18636.805343406,73209548,480341888,668039,512
1790410289.5326962,18637.80597157,73209548,480342040,668043,512
1790410290.5331998,18638.80647529,73209548,480342208,668045,512
1790410291.5336952,18639.806970606,73209548,480342384,668047,512
1790410292.534363,18640.80763847,73209548,480342384,668047,512
1790410293.5348094,18641.808084417,73209548,480411112,668082,512
1790410294.5352027,18642.808477707,73209548,480411112,668082,512
1790410295.5355825,18643.808857481,73209548,480411112,668082,512
