unix_seconds,gpu_index,memory_used_mib,utilization_percent,power_watts
1790410232.78,0,59951.0,95.0,420.27
1790410232.78,1,57297.0,94.0,388.02
1790410232.78,2,57189.0,95.0,453.11
1790410232.78,3,57517.0,95.0,422.51
1790410232.78,4,58145.0,95.0,447.27
1790410232.78,5,57499.0,95.0,376.26
1790410232.78,6,57339.0,83.0,404.76
1790410232.78,7,57319.0,95.0,442.12
1790410233.78,0,59951.0,85.0,837.58
1790410233.78,1,57297.0,87.0,859.01
1790410233.78,2,57189.0,100.0,871.44
1790410233.78,3,57517.0,100.0,859.57
1790410233.78,4,58145.0,100.0,871.75
1790410233.78,5,57499.0,87.0,863.64
1790410233.78,6,57339.0,100.0,870.03
1790410233.78,7,57319.0,86.0,844.12
1790410234.781,0,59951.0,0.0,739.09
1790410234.781,1,57297.0,0.0,719.4
1790410234.781,2,57189.0,0.0,674.41
1790410234.781,3,57517.0,0.0,684.84
1790410234.781,4,58145.0,0.0,672.16
1790410234.781,5,57499.0,0.0,711.06
1790410234.781,6,57339.0,0.0,700.23
1790410234.781,7,57319.0,0.0,664.79
1790410235.781,0,59951.0,20.0,280.27
1790410235.781,1,57297.0,61.0,280.45
1790410235.781,2,57189.0,95.0,335.63
1790410235.781,3,57517.0,94.0,296.66
1790410235.781,4,58145.0,56.0,282.0
1790410235.781,5,57499.0,0.0,282.71
1790410235.781,6,57339.0,88.0,319.64
1790410235.781,7,57319.0,23.0,299.5
1790410236.782,0,59951.0,100.0,762.12
1790410236.788,1,57297.0,100.0,737.42
1790410236.788,2,57189.0,100.0,775.71
1790410236.788,3,57517.0,100.0,759.24
1790410236.788,4,58145.0,100.0,826.44
1790410236.788,5,57499.0,99.0,741.13
1790410236.788,6,57339.0,100.0,734.95
1790410236.788,7,57319.0,100.0,771.78
1790410237.788,0,59951.0,100.0,939.35
1790410237.789,1,57297.0,100.0,931.96
1790410237.789,2,57189.0,66.0,872.02
1790410237.789,3,57517.0,73.0,914.89
1790410237.789,4,58145.0,14.0,883.56
1790410237.789,5,57499.0,100.0,925.25
1790410237.789,6,57339.0,95.0,910.39
1790410237.789,7,57319.0,100.0,886.33
1790410238.789,0,59951.0,0.0,206.35
1790410238.789,1,57297.0,0.0,205.98
1790410238.789,2,57189.0,0.0,210.96
1790410238.789,3,57517.0,0.0,193.7
1790410238.789,4,58145.0,0.0,203.84
1790410238.789,5,57499.0,0.0,200.3
1790410238.789,6,57339.0,0.0,206.53
1790410238.789,7,57319.0,0.0,194.39
1790410239.789,0,59951.0,95.0,543.25
1790410239.789,1,57297.0,94.0,471.73
1790410239.789,2,57189.0,95.0,611.24
1790410239.789,3,57517.0,95.0,528.35
1790410239.789,4,58145.0,95.0,541.83
1790410239.789,5,57499.0,95.0,505.31
1790410239.789,6,57339.0,94.0,531.84
1790410239.79,7,57319.0,95.0,535.74
1790410240.79,0,59951.0,100.0,855.03
1790410240.79,1,57297.0,100.0,902.02
1790410240.79,2,57189.0,100.0,864.63
1790410240.79,3,57517.0,100.0,894.59
1790410240.79,4,58145.0,100.0,907.54
1790410240.79,5,57499.0,100.0,879.61
1790410240.79,6,57339.0,100.0,903.89
1790410240.79,7,57319.0,100.0,891.49
1790410241.79,0,59951.0,0.0,588.21
1790410241.79,1,57297.0,0.0,587.91
1790410241.79,2,57189.0,0.0,533.64
1790410241.79,3,57517.0,0.0,529.55
1790410241.79,4,58145.0,0.0,536.41
1790410241.79,5,57499.0,0.0,580.59
1790410241.79,6,57339.0,0.0,563.88
1790410241.79,7,57319.0,0.0,535.95
1790410242.791,0,59951.0,95.0,411.72
1790410242.791,1,57297.0,95.0,383.87
1790410242.791,2,57189.0,95.0,482.02
1790410242.791,3,57517.0,95.0,415.42
1790410242.791,4,58145.0,95.0,434.64
1790410242.791,5,57499.0,91.0,385.91
1790410242.791,6,57339.0,85.0,389.62
1790410242.791,7,57319.0,95.0,413.74
1790410243.791,0,59951.0,85.0,832.34
1790410243.791,1,57297.0,85.0,840.5
1790410243.791,2,57189.0,100.0,841.04
1790410243.791,3,57517.0,100.0,852.63
1790410243.791,4,58145.0,100.0,872.02
1790410243.791,5,57499.0,91.0,852.01
1790410243.791,6,57339.0,98.0,880.66
1790410243.791,7,57319.0,83.0,857.9
1790410244.791,0,59951.0,0.0,727.69
1790410244.791,1,57297.0,0.0,734.49
1790410244.792,2,57189.0,0.0,656.07
1790410244.792,3,57517.0,0.0,678.08
1790410244.792,4,58145.0,0.0,682.46
1790410244.792,5,57499.0,0.0,716.41
1790410244.792,6,57339.0,0.0,696.97
1790410244.792,7,57319.0,0.0,677.79
1790410245.792,0,59951.0,47.0,320.4
1790410245.792,1,57297.0,58.0,286.37
1790410245.792,2,57189.0,95.0,386.7
1790410245.792,3,57517.0,95.0,319.69
1790410245.792,4,58145.0,95.0,345.35
1790410245.792,5,57499.0,66.0,282.45
1790410245.792,6,57339.0,82.0,296.03
1790410245.792,7,57319.0,0.0,281.1
1790410246.792,0,59951.0,100.0,800.41
1790410246.792,1,57297.0,100.0,778.56
1790410246.792,2,57189.0,100.0,763.84
1790410246.792,3,57517.0,100.0,781.29
1790410246.792,4,58145.0,85.0,787.67
1790410246.792,5,57499.0,100.0,805.29
1790410246.792,6,57339.0,100.0,818.2
1790410246.792,7,57319.0,100.0,816.09
1790410247.792,0,59951.0,100.0,858.5
1790410247.793,1,57297.0,100.0,869.35
1790410247.793,2,57189.0,0.0,838.67
1790410247.793,3,57517.0,9.0,839.98
1790410247.793,4,58145.0,0.0,845.65
1790410247.793,5,57499.0,78.0,858.88
1790410247.793,6,57339.0,54.0,863.44
1790410247.793,7,57319.0,27.0,834.14
1790410248.793,0,59951.0,0.0,204.6
1790410248.793,1,57297.0,0.0,200.57
1790410248.793,2,57189.0,0.0,239.91
1790410248.793,3,57517.0,0.0,197.74
1790410248.793,4,58145.0,7.0,209.92
1790410248.793,5,57499.0,0.0,197.82
1790410248.793,6,57339.0,0.0,206.44
1790410248.793,7,57319.0,0.0,193.73
1790410249.793,0,59951.0,57.0,708.61
1790410249.793,1,57297.0,85.0,655.79
1790410249.793,2,57189.0,99.0,734.99
1790410249.793,3,57517.0,72.0,724.05
1790410249.793,4,58145.0,100.0,747.07
1790410249.793,5,57499.0,59.0,694.99
1790410249.793,6,57339.0,100.0,715.85
1790410249.793,7,57319.0,99.0,736.47
1790410250.794,0,59951.0,100.0,980.93
1790410250.794,1,57297.0,100.0,977.9
1790410250.794,2,57189.0,100.0,980.44
1790410250.794,3,57517.0,100.0,982.99
1790410250.794,4,58145.0,100.0,987.41
1790410250.794,5,57499.0,100.0,974.72
1790410250.794,6,57339.0,100.0,983.52
1790410250.794,7,57319.0,100.0,984.08
1790410251.794,0,59951.0,0.0,316.72
1790410251.794,1,57297.0,0.0,321.0
1790410251.794,2,57189.0,0.0,271.1
1790410251.794,3,57517.0,0.0,280.17
1790410251.794,4,58145.0,0.0,259.61
1790410251.794,5,57499.0,0.0,306.66
1790410251.794,6,57339.0,0.0,305.24
1790410251.794,7,57319.0,0.0,261.11
1790410252.794,0,59951.0,95.0,407.93
1790410252.794,1,57297.0,95.0,437.73
1790410252.795,2,57189.0,95.0,502.25
1790410252.795,3,57517.0,95.0,445.31
1790410252.795,4,58145.0,95.0,421.89
1790410252.795,5,57499.0,95.0,405.28
1790410252.795,6,57339.0,94.0,462.0
1790410252.795,7,57319.0,68.0,400.55
1790410253.795,0,59951.0,96.0,836.42
1790410253.795,1,57297.0,87.0,760.25
1790410253.795,2,57189.0,100.0,815.03
1790410253.795,3,57517.0,100.0,816.49
1790410253.795,4,58145.0,100.0,878.1
1790410253.795,5,57499.0,82.0,826.68
1790410253.795,6,57339.0,85.0,786.73
