step,iteration_seconds,loss,tokens,vae_rank_mean_seconds,vae_rank_max_seconds,prepare_rank_mean_seconds,prepare_rank_max_seconds
156,13.27,1.74,914265,3.003,3.097,3.04,3.135
157,13.25,1.8848,913866,3.016,3.181,3.054,3.222
158,13.3,1.6967,912323,2.996,3.198,3.035,3.242
159,13.25,1.8171,914358,3.02,3.169,3.058,3.211
160,13.14,1.1665,915133,2.976,3.069,3.012,3.107
161,13.4,1.5219,918235,3.043,3.19,3.081,3.229
162,13.25,2.1901,913921,2.994,3.076,3.032,3.115
163,13.28,1.5105,910941,3.039,3.22,3.079,3.266
164,13.26,1.8026,911172,2.979,3.082,3.017,3.122
165,13.29,1.925,913640,3.003,3.131,3.04,3.17
166,13.3,1.2141,914539,3.0,3.183,3.038,3.224
167,13.34,1.468,912583,2.987,3.115,3.024,3.154
168,13.48,1.352,911947,3.116,3.354,3.155,3.397
169,13.3,1.4256,912081,2.979,3.053,3.016,3.091
170,13.22,1.5098,909389,2.981,3.073,3.019,3.118
171,13.34,1.2734,912819,2.999,3.184,3.037,3.228
172,13.23,1.3628,911882,3.027,3.254,3.065,3.3
173,13.25,1.4861,907262,3.022,3.201,3.06,3.244
174,13.19,1.3084,911890,3.016,3.119,3.054,3.161
175,13.22,1.5036,909995,2.991,3.066,3.028,3.104
176,13.22,2.0644,911291,2.983,3.217,3.021,3.262
177,13.24,1.3104,912532,3.016,3.118,3.053,3.158
178,13.17,1.251,911661,2.969,3.087,3.006,3.125
179,13.15,1.4753,914619,2.973,3.066,3.01,3.103
180,13.21,1.2819,914232,2.977,3.145,3.015,3.19
181,13.19,1.5645,916165,2.987,3.063,3.024,3.101
182,13.33,1.6093,915265,2.995,3.179,3.033,3.221
183,13.26,1.3551,913844,2.98,3.121,3.017,3.163
184,13.24,1.2622,911103,2.971,3.008,3.008,3.045
185,13.25,1.5906,914414,2.997,3.159,3.034,3.2
186,13.25,1.448,916857,3.006,3.203,3.043,3.243
187,13.24,1.7703,915790,2.993,3.083,3.03,3.119
188,13.19,1.7925,911899,2.998,3.058,3.035,3.093
189,13.26,1.876,917029,2.986,3.049,3.023,3.087
190,13.3,1.5684,911998,3.005,3.158,3.043,3.198
191,13.34,1.884,913392,3.009,3.197,3.047,3.242
192,13.35,1.5287,915072,3.012,3.177,3.05,3.218
193,13.12,1.8096,916470,3.002,3.099,3.04,3.138
194,13.23,1.964,917966,3.027,3.122,3.065,3.164
195,13.27,1.5236,915040,3.012,3.212,3.052,3.258
196,13.53,1.6211,915000,3.041,3.203,3.079,3.249
197,13.24,1.2548,912849,3.001,3.119,3.039,3.158
198,13.37,1.451,917852,3.06,3.311,3.1,3.355
199,13.11,1.4838,912614,2.96,3.011,2.997,3.052
200,13.28,1.2411,914280,3.003,3.163,3.041,3.21
201,13.37,1.3747,914901,2.984,3.099,3.021,3.14
202,13.15,1.7338,912261,2.969,3.083,3.006,3.124
203,13.27,1.8037,911291,3.006,3.203,3.043,3.252
204,13.31,1.3505,914422,3.027,3.234,3.065,3.275
205,13.22,1.3812,914607,3.015,3.104,3.053,3.143
206,13.28,1.3197,913641,3.017,3.147,3.057,3.188
207,13.21,1.3786,913582,3.005,3.086,3.042,3.124
208,13.37,1.5204,914258,3.001,3.202,3.039,3.241
209,13.22,1.7329,913124,3.023,3.143,3.06,3.185
210,13.43,1.3164,910369,3.037,3.243,3.074,3.284
211,13.26,1.6948,912941,2.996,3.127,3.032,3.166
212,13.41,1.5216,910928,3.045,3.253,3.083,3.297
213,13.3,1.5829,912066,3.035,3.234,3.073,3.276
214,13.34,1.1724,912118,3.003,3.158,3.041,3.199
215,13.26,1.3052,912976,2.996,3.143,3.032,3.184
216,13.09,1.9009,913964,2.965,3.022,3.001,3.058
217,13.26,2.0157,913413,2.993,3.147,3.031,3.196
218,13.24,1.7147,915446,3.028,3.204,3.066,3.246
219,13.21,2.0187,911988,3.022,3.083,3.06,3.122
220,13.31,1.7387,915616,2.999,3.168,3.037,3.208
221,13.22,1.9899,912379,3.059,3.177,3.097,3.221
222,13.22,1.6563,916016,2.973,3.073,3.01,3.109
223,13.19,1.8934,913795,2.975,3.051,3.014,3.09
224,13.18,1.4106,917087,2.976,3.079,3.013,3.117
225,13.33,2.347,915999,3.009,3.13,3.046,3.168
226,13.34,1.1812,915877,3.014,3.125,3.052,3.169
227,13.21,1.1806,914960,3.019,3.147,3.058,3.185
228,13.22,1.2735,913861,3.002,3.122,3.04,3.159
229,13.35,1.4813,912036,3.035,3.27,3.073,3.317
230,13.3,1.8276,912491,3.029,3.183,3.069,3.226
231,13.18,1.664,914172,2.975,3.078,3.013,3.123
232,13.16,1.3787,915006,2.972,3.027,3.01,3.067
233,13.27,1.7507,914429,2.994,3.084,3.031,3.125
234,13.08,1.4059,911668,2.982,3.055,3.019,3.091
235,13.2,1.4011,915031,2.986,3.049,3.023,3.089
236,13.29,1.7781,913539,3.022,3.205,3.06,3.247
237,13.34,1.3779,912672,2.996,3.148,3.034,3.185
238,13.3,1.8039,912059,2.988,3.111,3.026,3.156
239,13.23,1.1375,916443,3.031,3.074,3.068,3.112
240,13.28,1.2784,911941,3.005,3.123,3.042,3.161
241,13.24,1.4982,912890,3.004,3.076,3.042,3.115
242,13.21,1.6624,910337,3.014,3.186,3.052,3.225
243,13.25,1.4805,911724,3.008,3.202,3.048,3.25
244,13.22,1.2658,915549,2.992,3.052,3.03,3.088
245,13.32,1.5738,912127,3.003,3.071,3.041,3.113
246,13.27,1.4648,912760,2.986,3.104,3.024,3.145
247,13.41,1.7229,913432,3.019,3.179,3.058,3.222
248,13.31,1.6501,911383,3.005,3.124,3.042,3.163
249,13.21,1.4597,915470,2.974,3.102,3.011,3.144
250,13.3,1.3313,910921,2.978,3.157,3.017,3.205
251,13.35,1.4712,913915,3.009,3.13,3.046,3.172
252,13.35,1.0157,913745,3.019,3.168,3.057,3.207
253,13.35,1.5489,914134,3.035,3.203,3.073,3.243
254,13.14,1.2724,911641,2.963,3.035,3.0,3.074
255,13.34,1.1944,916804,3.021,3.131,3.06,3.18
256,13.32,1.3626,916720,3.043,3.22,3.081,3.26
257,13.35,1.1451,917811,3.047,3.252,3.086,3.298
258,13.34,1.5437,916150,3.056,3.218,3.094,3.257
259,13.16,1.2804,916338,3.017,3.141,3.054,3.18
260,13.08,1.5686,914105,2.971,3.058,3.008,3.095
261,13.29,1.1914,917190,3.033,3.272,3.071,3.311
262,13.33,1.6523,917353,3.016,3.21,3.054,3.255
263,13.22,1.4146,916220,3.021,3.109,3.059,3.146
264,13.28,1.0545,914215,3.025,3.199,3.063,3.243
265,13.31,1.4812,915297,3.005,3.116,3.044,3.165
266,13.24,1.4877,913569,2.982,3.059,3.021,3.098
267,13.32,1.5489,911621,3.009,3.127,3.046,3.172
268,13.25,1.2982,912832,2.997,3.068,3.036,3.111
269,13.22,1.3274,911131,3.007,3.121,3.044,3.158
270,13.26,1.3062,913985,3.013,3.115,3.051,3.157
271,13.34,1.2792,912807,3.025,3.167,3.063,3.204
272,13.38,1.3211,915221,3.018,3.12,3.055,3.158
273,13.2,1.1007,911277,2.976,3.075,3.013,3.115
274,13.33,1.5228,912027,3.003,3.125,3.042,3.167
275,13.41,1.5765,913484,3.03,3.253,3.069,3.294
276,13.26,1.5014,908673,3.014,3.194,3.052,3.238
