arm,split,condition,seed,steps,sum_reward,max_reward,success
baseline,test,clean,100084,300,0.0,0.0,False
robust,test,clean,100084,300,170.99345547348477,0.7963878933723406,False
baseline,test,clean,100085,264,115.15653611323744,1.0,True
robust,test,clean,100085,300,133.13493845442505,0.9599714400981649,False
baseline,test,clean,100086,300,206.78545583273626,0.6918746996261718,False
robust,test,clean,100086,300,197.32819042268682,0.6577606347422893,False
baseline,test,clean,100087,234,116.68720510605606,1.0,True
robust,test,clean,100087,300,201.88652896855353,0.9689164833225195,False
baseline,test,clean,100088,300,104.20660443089648,0.44861345116971113,False
robust,test,clean,100088,177,49.07047278986651,1.0,True
baseline,test,clean,100089,277,57.76863075756165,1.0,True
robust,test,clean,100089,300,0.0,0.0,False
baseline,test,clean,100090,300,9.181069233545157,0.533126455715102,False
robust,test,clean,100090,300,67.6167005901635,0.9570790886255746,False
baseline,test,clean,100091,300,171.48003898909758,0.9751906928695423,False
robust,test,clean,100091,300,166.79312961600252,0.9615001989336859,False
baseline,test,clean,100092,300,197.93005499637752,0.8513271575268101,False
robust,test,clean,100092,286,112.94499867283645,1.0,True
baseline,test,clean,100093,198,76.30628385975444,1.0,True
robust,test,clean,100093,229,149.73570402859832,1.0,True
baseline,test,clean,100094,300,0.0,0.0,False
robust,test,clean,100094,300,68.00040608335135,0.8422097464136711,False
baseline,test,clean,100095,300,181.67612225544332,0.9987327218201053,False
robust,test,clean,100095,300,148.84521566707772,0.9750793912395309,False
baseline,test,delay,100032,242,116.56861248733561,1.0,True
robust,test,delay,100032,256,133.49669461611407,1.0,True
baseline,test,delay,100033,300,143.42026855818503,0.943129982242647,False
robust,test,delay,100033,300,152.25559559928615,0.9277158389361118,False
baseline,test,delay,100034,300,0.0,0.0,False
robust,test,delay,100034,300,0.0,0.0,False
baseline,test,delay,100035,300,2.4334324513441463,0.02399338371905626,False
robust,test,delay,100035,300,74.88199676036069,0.50543899165583,False
baseline,test,delay,100036,175,67.53481804851467,1.0,True
robust,test,delay,100036,300,142.78272692240967,0.9792641888593723,False
baseline,test,delay,100037,300,198.4410752187789,0.8949497318336561,False
robust,test,delay,100037,223,144.10487036873158,1.0,True
baseline,test,delay,100038,300,131.73595564476352,0.9487370220643839,False
robust,test,delay,100038,255,104.41896584570793,1.0,True
baseline,test,delay,100039,300,157.34982965137996,0.6102657467616712,False
robust,test,delay,100039,300,188.40159523072285,0.9914191239346094,False
baseline,test,delay,100040,300,0.6014714542752703,0.003104237666666284,False
robust,test,delay,100040,104,32.13771835170263,1.0,True
baseline,test,delay,100041,104,49.00751871581087,1.0,True
robust,test,delay,100041,225,129.228546851427,1.0,True
baseline,test,delay,100042,300,51.702175437971384,0.44888561040186914,False
robust,test,delay,100042,300,45.42174368154481,0.4864121966236234,False
baseline,test,delay,100043,300,128.95841087543192,0.5985338779317838,False
robust,test,delay,100043,300,128.66773239823007,0.9719343396710163,False
baseline,test,delay,100044,300,150.99625257947412,0.9050157631817256,False
robust,test,delay,100044,300,151.09227131332267,0.977822605331975,False
baseline,test,delay,100045,300,123.60831405357312,0.5482478523883141,False
robust,test,delay,100045,300,0.0,0.0,False
baseline,test,delay,100046,300,0.0,0.0,False
robust,test,delay,100046,300,41.56488290169629,0.1728924044695635,False
baseline,test,delay,100047,300,172.4986136114562,0.8990237009902874,False
robust,test,delay,100047,231,155.80808542157195,1.0,True
baseline,test,delay,100048,300,73.21680891569893,0.4651697950026261,False
robust,test,delay,100048,300,135.40186088482153,0.9322661474550188,False
baseline,test,delay,100049,300,55.646546368688945,0.6529745532159883,False
robust,test,delay,100049,300,67.38570894712905,0.6541714974216761,False
baseline,test,delay,100050,300,88.06205705786078,0.47620686622069236,False
robust,test,delay,100050,300,175.55417046264589,0.8692303248252492,False
baseline,test,delay,100051,300,32.634289831725965,0.3146739742518562,False
robust,test,delay,100051,300,87.66977883981214,0.8794720693644106,False
baseline,test,delay,100052,183,90.08761825822168,1.0,True
robust,test,delay,100052,300,158.36024313536214,0.8922437063274239,False
baseline,test,delay,100053,300,0.0,0.0,False
robust,test,delay,100053,300,168.03541456150668,0.9766746766278492,False
baseline,test,delay,100054,185,90.81245729199776,1.0,True
robust,test,delay,100054,300,212.5835833993437,0.9005280566531012,False
baseline,test,delay,100055,300,89.2555622053015,0.45091443094950395,False
robust,test,delay,100055,300,46.621572978408835,0.23230565646095455,False
baseline,test,delay,100056,300,38.36946630553889,0.3528258840921371,False
robust,test,delay,100056,300,47.316815588153716,0.18493409940885588,False
baseline,test,delay,100057,300,126.0679277200331,0.9955202863295073,False
robust,test,delay,100057,300,197.65026309581125,0.9954704515478844,False
baseline,test,delay,100058,300,60.07533440072892,0.41377273387832436,False
robust,test,delay,100058,300,67.34974669383362,0.2244991556461121,False
baseline,test,delay,100059,152,90.11010832186533,1.0,True
robust,test,delay,100059,300,220.42258424955313,0.9629069964924298,False
baseline,test,delay,100060,300,117.59290118298789,0.8877671088331406,False
robust,test,delay,100060,170,19.621175525338142,1.0,True
baseline,test,delay,100061,300,2.161444857260592,0.09569681895158078,False
robust,test,delay,100061,300,96.36400970129885,0.8961793006741904,False
baseline,test,delay,100062,173,92.55504146792623,1.0,True
robust,test,delay,100062,182,83.74744156662159,1.0,True
baseline,test,delay,100063,279,90.33168957440299,1.0,True
robust,test,delay,100063,300,122.08171994428024,0.8264913645290963,False
baseline,test,delay,100064,300,81.46659216976707,0.9952776300598954,False
robust,test,delay,100064,187,51.840250208309975,1.0,True
baseline,test,delay,100065,300,128.9988145854824,0.6844303798466079,False
robust,test,delay,100065,300,202.4391041451134,0.8645545615602171,False
baseline,test,delay,100066,300,125.30371605959456,0.9935034828721516,False
robust,test,delay,100066,300,87.92132132375207,0.8822551524765819,False
baseline,test,delay,100067,290,142.37445967043428,1.0,True
robust,test,delay,100067,300,154.04696311136297,0.8934174241028179,False
baseline,test,delay,100068,216,101.58109019831824,1.0,True
robust,test,delay,100068,197,79.14078756575977,1.0,True
baseline,test,delay,100069,300,143.133900540361,0.693459139715978,False
robust,test,delay,100069,300,160.9846887682118,0.9987584417577753,False
baseline,test,delay,100070,300,218.09878085672696,0.8686921908955776,False
robust,test,delay,100070,300,175.89504878795304,0.995239191367106,False
baseline,test,delay,100071,300,88.90973856122105,0.4328082840108638,False
robust,test,delay,100071,300,65.70525308371802,0.5394139531150276,False
baseline,test,delay,100072,202,54.877083892288255,1.0,True
robust,test,delay,100072,300,172.98339385767525,0.9767171311311377,False
baseline,test,delay,100073,300,2.6038703736651696,0.19005634886232323,False
robust,test,delay,100073,300,151.9684974278437,0.9890786849332889,False
baseline,test,delay,100074,300,0.0,0.0,False
robust,test,delay,100074,233,89.2924946852198,1.0,True
baseline,test,delay,100075,300,42.279334321733785,0.36796255725977606,False
robust,test,delay,100075,280,153.17955465809055,1.0,True
baseline,test,delay,100076,208,65.547545478587,1.0,True
robust,test,delay,100076,300,156.14665203583306,0.979873192508999,False
baseline,test,delay,100077,287,204.12454786017378,1.0,True
robust,test,delay,100077,291,211.8611695221262,1.0,True
baseline,test,delay,100078,295,171.18642290112513,1.0,True
robust,test,delay,100078,300,112.40834833534976,0.81082845868241,False
baseline,test,delay,100079,300,182.18922659283294,0.9915328160221192,False
robust,test,delay,100079,276,149.2681748580684,1.0,True
baseline,test,delay,100080,300,147.66446532761412,0.9697224552733196,False
robust,test,delay,100080,300,63.5495515267106,0.25117954977395984,False
baseline,test,delay,100081,300,86.55406035845479,0.6006986869733976,False
robust,test,delay,100081,300,131.58843273616083,0.6631763025914471,False
baseline,test,delay,100082,300,0.0,0.0,False
robust,test,delay,100082,300,0.0,0.0,False
baseline,test,delay,100083,300,0.0,0.0,False
robust,test,delay,100083,300,0.0,0.0,False
baseline,test,delay,100084,300,0.0,0.0,False
robust,test,delay,100084,300,162.44046444404694,0.8239894766873634,False
baseline,test,delay,100085,300,116.21433939207186,0.7234105110725142,False
robust,test,delay,100085,300,26.284610803324444,0.9960440948017202,False
baseline,test,delay,100086,300,187.835596476551,0.6892534866653066,False
robust,test,delay,100086,300,197.32819042268682,0.6577606347422893,False
baseline,test,delay,100087,300,142.9616772145739,0.9094341270525426,False
robust,test,delay,100087,113,51.546281601601045,1.0,True
baseline,test,delay,100088,300,107.29092591714983,0.46076215999016307,False
robust,test,delay,100088,300,123.46292491884367,0.9689988010750901,False
baseline,test,delay,100089,300,86.66811360718447,0.5968761532218643,False
robust,test,delay,100089,300,0.0,0.0,False
baseline,test,delay,100090,300,41.3393035067683,0.5083180311076992,False
robust,test,delay,100090,300,0.0,0.0,False
baseline,test,delay,100091,291,145.17256340957965,1.0,True
robust,test,delay,100091,300,143.1285134869177,0.7753909835980813,False
baseline,test,delay,100092,300,191.99322271779445,0.9948478931999802,False
robust,test,delay,100092,300,120.87990746520506,0.5937129190369506,False
baseline,test,delay,100093,300,123.766827463578,0.9942689535894208,False
robust,test,delay,100093,300,204.75527927322807,0.9944815033308119,False
baseline,test,delay,100094,300,0.0,0.0,False
robust,test,delay,100094,300,31.1704936829289,0.26765524999604445,False
baseline,test,delay,100095,219,94.59952146031758,1.0,True
robust,test,delay,100095,300,135.41113680693536,0.9436036180606098,False
baseline,test,dim,100032,300,90.2065614329451,0.44584418796569947,False
robust,test,dim,100032,300,44.14582361057052,0.2029738855153714,False
baseline,test,dim,100033,300,161.2439040288045,0.9351475454650312,False
